time,Year,Month,pr
2000-06-30,2000,6,124.27657861884975
2000-07-31,2000,7,87.26070268619391
2000-08-31,2000,8,55.18549185493573
2000-09-30,2000,9,306.83355308834075
2000-10-31,2000,10,290.0011096983449
2000-11-30,2000,11,288.8444998456576
2000-12-31,2000,12,129.44856176545036
2001-01-31,2001,1,127.04101561421173
2001-02-28,2001,2,95.93550397714652
2001-03-31,2001,3,281.91616972225046
2001-04-30,2001,4,169.25023186102675
2001-05-31,2001,5,294.18490241825384
2001-06-30,2001,6,125.64490080295042
2001-07-31,2001,7,100.94742170821235
2001-08-31,2001,8,151.85467017998084
2001-09-30,2001,9,206.92334569952718
2001-10-31,2001,10,257.0260686931047
2001-11-30,2001,11,265.20089553861226
2001-12-31,2001,12,182.82565239796753
2002-01-31,2002,1,103.7274922461185
2002-02-28,2002,2,130.29922157982358
2002-03-31,2002,3,202.31417893103915
2002-04-30,2002,4,193.19673883678004
2002-05-31,2002,5,233.29099757853325
2002-06-30,2002,6,144.82820113755918
2002-07-31,2002,7,127.82007447748525
2002-08-31,2002,8,259.12400610718123
2002-09-30,2002,9,317.5924450073348
2002-10-31,2002,10,373.31099095489833
2002-11-30,2002,11,295.08446310163527
2002-12-31,2002,12,156.7193968112762
2003-01-31,2003,1,122.3781357313855
2003-02-28,2003,2,94.25398437198638
2003-03-31,2003,3,230.94030539773962
2003-04-30,2003,4,323.6350088322337
2003-05-31,2003,5,252.61696615405728
2003-06-30,2003,6,216.55134702523327
2003-07-31,2003,7,77.67727304918824
2003-08-31,2003,8,217.15422991808703
2003-09-30,2003,9,339.5060942357718
2003-10-31,2003,10,353.1493799821622
2003-11-30,2003,11,271.60783730501686
2003-12-31,2003,12,186.42097730979188
2004-01-31,2004,1,132.13772565388138
2004-02-29,2004,2,236.7479569044753
2004-03-31,2004,3,165.9709137199442
2004-04-30,2004,4,239.64134900982606
2004-05-31,2004,5,162.4511783572451
2004-06-30,2004,6,169.09860583904592
2004-07-31,2004,7,210.5363219280915
2004-08-31,2004,8,262.13459833299186
2004-09-30,2004,9,370.5479931098191
2004-10-31,2004,10,366.0669188074707
2004-11-30,2004,11,253.85735394924242
2004-12-31,2004,12,172.9980440220031
2005-01-31,2005,1,121.38615443729789
2005-02-28,2005,2,147.2956715239748
2005-03-31,2005,3,190.52978202936245
2005-04-30,2005,4,302.5675480434892
2005-05-31,2005,5,219.51325530659167
2005-06-30,2005,6,159.66918948693976
2005-07-31,2005,7,89.33865939796021
2005-08-31,2005,8,304.3179007079636
2005-09-30,2005,9,353.9072194060919
2005-10-31,2005,10,435.39154931746486
2005-11-30,2005,11,260.18829778660773
2005-12-31,2005,12,178.2741336371437
2006-01-31,2006,1,134.62412127834452
2006-02-28,2006,2,132.49210032061177
2006-03-31,2006,3,179.5627111492797
2006-04-30,2006,4,205.1363390455822
2006-05-31,2006,5,228.0032432537823
2006-06-30,2006,6,169.945707789906
2006-07-31,2006,7,104.55539680595666
2006-08-31,2006,8,247.21152955283583
2006-09-30,2006,9,318.28691526456805
2006-10-31,2006,10,376.24474149665224
2006-11-30,2006,11,237.14278610371062
2006-12-31,2006,12,155.36658503407622
2007-01-31,2007,1,119.02527565460232
2007-02-28,2007,2,78.11816428183236
2007-03-31,2007,3,308.95364605151167
2007-04-30,2007,4,217.27890979902998
2007-05-31,2007,5,333.1425736416996
2007-06-30,2007,6,196.6626209100931
2007-07-31,2007,7,174.57876306855593
2007-08-31,2007,8,244.33293053721243
2007-09-30,2007,9,290.61974314829706
2007-10-31,2007,10,302.8844989594783
2007-11-30,2007,11,257.82602762576255
2007-12-31,2007,12,211.61267646431608
2008-01-31,2008,1,163.7270589359684
2008-02-29,2008,2,139.68369645466203
2008-03-31,2008,3,155.9774288943368
2008-04-30,2008,4,213.79587472829132
2008-05-31,2008,5,284.5155685705338
2008-06-30,2008,6,154.41080439978958
2008-07-31,2008,7,110.65351807126082
2008-08-31,2008,8,183.28672989535258
2008-09-30,2008,9,291.2175167995725
2008-10-31,2008,10,307.9953897429123
2008-11-30,2008,11,240.00566669758814
2008-12-31,2008,12,120.42620096531478
2009-01-31,2009,1,84.68390116846781
2009-02-28,2009,2,167.8978541662509
2009-03-31,2009,3,198.68418096081302
2009-04-30,2009,4,210.61346197481717
2009-05-31,2009,5,250.10025576262743
2009-06-30,2009,6,111.11587020945353
2009-07-31,2009,7,90.12101315899064
2009-08-31,2009,8,234.00339991986544
2009-09-30,2009,9,203.13173086632858
2009-10-31,2009,10,323.05008864411855
2009-11-30,2009,11,350.853244390401
2009-12-31,2009,12,192.22262085179787
2010-01-31,2010,1,128.9385446938635
2010-02-28,2010,2,128.18029955078558
2010-03-31,2010,3,194.22857174894338
2010-04-30,2010,4,356.4275388636045
2010-05-31,2010,5,244.96290367304294
2010-06-30,2010,6,282.7200664299132
2010-07-31,2010,7,95.86510754534955
2010-08-31,2010,8,203.3540251849111
2010-09-30,2010,9,387.3791199605255
2010-10-31,2010,10,315.9289660052709
2010-11-30,2010,11,141.79563122189757
2010-12-31,2010,12,148.37872895325748
2011-01-31,2011,1,96.5392015139655
2011-02-28,2011,2,43.397255679528
2011-03-31,2011,3,223.59853879567143
2011-04-30,2011,4,292.2591429074729
2011-05-31,2011,5,215.09408582109018
2011-06-30,2011,6,152.2426577079717
2011-07-31,2011,7,164.99579269105956
2011-08-31,2011,8,122.00075982814953
2011-09-30,2011,9,201.5995438127445
2011-10-31,2011,10,279.9663170833958
2011-11-30,2011,11,244.9543684830949
2011-12-31,2011,12,107.52865795566133
2012-01-31,2012,1,124.46381876397962
2012-02-29,2012,2,71.5458631773866
2012-03-31,2012,3,183.8691342872545
2012-04-30,2012,4,162.1972784763575
2012-05-31,2012,5,311.54847391779435
2012-06-30,2012,6,71.98525994242813
2012-07-31,2012,7,80.98731972159429
2012-08-31,2012,8,98.36212534523935
2012-09-30,2012,9,238.33069038904208
2012-10-31,2012,10,214.29108128296318
2012-11-30,2012,11,236.4922235551207
2012-12-31,2012,12,151.42134380052545
2013-01-31,2013,1,85.40401956441218
2013-02-28,2013,2,148.9001410889582
2013-03-31,2013,3,211.93375269786284
2013-04-30,2013,4,211.78765378593474
2013-05-31,2013,5,169.94210654409582
2013-06-30,2013,6,96.64061660407347
2013-07-31,2013,7,77.16711659013087
2013-08-31,2013,8,106.47722128913657
2013-09-30,2013,9,191.16525983774267
2013-10-31,2013,10,312.53729196184446
2013-11-30,2013,11,301.8652214595925
2013-12-31,2013,12,148.05367342607087
2014-01-31,2014,1,84.12946293363858
2014-02-28,2014,2,123.23402952003835
2014-03-31,2014,3,216.73842767535209
2014-04-30,2014,4,223.49199182781595
2014-05-31,2014,5,224.2151757842511
2014-06-30,2014,6,164.13087930996215
2014-07-31,2014,7,223.32773546130755
2014-08-31,2014,8,300.7090202393432
2014-09-30,2014,9,299.9646390144245
2014-10-31,2014,10,245.59231434294756
2014-11-30,2014,11,268.5516629417189
2014-12-31,2014,12,158.30263985628505
2015-01-31,2015,1,98.89824047279927
2015-02-28,2015,2,200.71556150729333
2015-03-31,2015,3,132.15981285706863
2015-04-30,2015,4,378.1894082707315
2015-05-31,2015,5,222.08031906227285
2015-06-30,2015,6,210.13786680467044
2015-07-31,2015,7,194.38884011195606
2015-08-31,2015,8,354.0168268235114
2015-09-30,2015,9,356.8299527186103
2015-10-31,2015,10,398.53519812786436
2015-11-30,2015,11,237.69774763379903
2015-12-31,2015,12,158.1950273190551
2016-01-31,2016,1,62.77711876099484
2016-02-29,2016,2,146.8733768486182
2016-03-31,2016,3,217.06819508717686
2016-04-30,2016,4,223.47280050291909
2016-05-31,2016,5,266.03828575029524
2016-06-30,2016,6,153.53864713850314
2016-07-31,2016,7,112.50718472466166
2016-08-31,2016,8,284.7172412841686
2016-09-30,2016,9,363.4403886680604
2016-10-31,2016,10,363.3575424729378
2016-11-30,2016,11,223.45661657047205
2016-12-31,2016,12,120.72757961653028
2017-01-31,2017,1,126.62228881782305
2017-02-28,2017,2,137.29931498688185
2017-03-31,2017,3,239.532668363998
2017-04-30,2017,4,290.64557464635243
2017-05-31,2017,5,223.2174447617686
2017-06-30,2017,6,96.35272192372264
2017-07-31,2017,7,130.5785268969724
2017-08-31,2017,8,167.6541093167761
2017-09-30,2017,9,359.87056053288705
2017-10-31,2017,10,307.5021274103765
2017-11-30,2017,11,232.04434065831458
2017-12-31,2017,12,178.13274549888126
2018-01-31,2018,1,151.82797448528558
2018-02-28,2018,2,188.78705534120715
2018-03-31,2018,3,275.7854238046494
2018-04-30,2018,4,191.17720082665573
2018-05-31,2018,5,197.43716050006958
2018-06-30,2018,6,219.10980558984258
2018-07-31,2018,7,85.24266282804979
2018-08-31,2018,8,171.61135307588125
2018-09-30,2018,9,269.9347850791344
2018-10-31,2018,10,318.9180018892212
2018-11-30,2018,11,183.1449325809521
2018-12-31,2018,12,163.05480246651936
2019-01-31,2019,1,92.1393405933447
2019-02-28,2019,2,154.05933486426113
2019-03-31,2019,3,320.8471225277572
2019-04-30,2019,4,214.6407003058312
2019-05-31,2019,5,187.59405184784904
2019-06-30,2019,6,129.50026846228178
2019-07-31,2019,7,93.05681701970374
2019-08-31,2019,8,111.81420745947918
2019-09-30,2019,9,242.95776666298178
2019-10-31,2019,10,279.53521945677585
2019-11-30,2019,11,308.09531122569325
2019-12-31,2019,12,191.27081189728966
2020-01-31,2020,1,94.82543256755014
2020-02-29,2020,2,172.8479937951167
2020-03-31,2020,3,278.3060641878864
2020-04-30,2020,4,181.5456915881976
2020-05-31,2020,5,269.0313031800738
2020-06-30,2020,6,244.72369255103493
2020-07-31,2020,7,95.05951840980791
2020-08-31,2020,8,193.07288844685556
2020-09-30,2020,9,241.69992772817383
2020-10-31,2020,10,358.50687065034225
2020-11-30,2020,11,265.15722301722326
2020-12-31,2020,12,145.2609614629857
2021-01-31,2021,1,146.03249360922547
2021-02-28,2021,2,153.36807460096813
2021-03-31,2021,3,179.85647723047418
2021-04-30,2021,4,210.15866758933817
2021-05-31,2021,5,139.99614758249112
2021-06-30,2021,6,122.23624650344695
2021-07-31,2021,7,102.11606637301168
2021-08-31,2021,8,217.2378996485239
2021-09-30,2021,9,342.6153386756348
2021-10-31,2021,10,351.49441455134615
2021-11-30,2021,11,237.2685411162826
2021-12-31,2021,12,153.17534634757732
2022-01-31,2022,1,137.44288625663765
2022-02-28,2022,2,143.5885469182575
2022-03-31,2022,3,171.89164825024045
2022-04-30,2022,4,272.5768807473175
2022-05-31,2022,5,183.38700530041808
2022-06-30,2022,6,166.83290027062972
2022-07-31,2022,7,111.8426875142387
2022-08-31,2022,8,141.43458586057687
2022-09-30,2022,9,305.8274453771126
2022-10-31,2022,10,350.5557672251186
2022-11-30,2022,11,280.3648190715233
2022-12-31,2022,12,143.71239262671477
2023-01-31,2023,1,142.56347696119929
2023-02-28,2023,2,225.8204669401253
2023-03-31,2023,3,147.84327587333223
2023-04-30,2023,4,240.33299389180377
2023-05-31,2023,5,256.1056701473172
2023-06-30,2023,6,156.21932283836793
2023-07-31,2023,7,66.48622171734114
2023-08-31,2023,8,293.2451865551536
2023-09-30,2023,9,292.09890698591175
2023-10-31,2023,10,352.650168366879
2023-11-30,2023,11,179.5975366913726
2023-12-31,2023,12,234.4106543967345
2024-01-31,2024,1,194.61260258918597
2024-02-29,2024,2,240.2797319271136
2024-03-31,2024,3,44.85091540040309
2024-04-30,2024,4,316.4101964652573
2024-05-31,2024,5,286.3436447169969
2024-06-30,2024,6,204.6117690701993
2024-07-31,2024,7,103.25805163135567
2024-08-31,2024,8,244.30345492285593
2024-09-30,2024,9,264.1925023315381
2024-10-31,2024,10,273.70491614644993
2024-11-30,2024,11,229.95599312185678
2024-12-31,2024,12,164.791286413432
2025-01-31,2025,1,89.04387425512647
2025-02-28,2025,2,125.79264720019815
2025-03-31,2025,3,231.16816968910712
2025-04-30,2025,4,259.38860651310944
2025-05-31,2025,5,239.50220672437786
2025-06-30,2025,6,135.16358485181138
2025-07-31,2025,7,121.96136712114335
2025-08-31,2025,8,232.03726331381904
2025-09-30,2025,9,418.04720787182646
2025-10-31,2025,10,268.6165610554302
2025-11-30,2025,11,206.4864739094104
2025-12-31,2025,12,166.19133549700456
2026-01-31,2026,1,198.08709458439725
2026-02-28,2026,2,158.13522358658756
2026-03-31,2026,3,167.3393335383316
2026-04-30,2026,4,257.8539307891817
2026-05-31,2026,5,233.90274173313705
2026-06-30,2026,6,143.4956337264895
2026-07-31,2026,7,110.66318910721422
2026-08-31,2026,8,167.808567388221
2026-09-30,2026,9,260.4168232741107
2026-10-31,2026,10,354.3542448440999
2026-11-30,2026,11,302.52478741021355
2026-12-31,2026,12,152.22530648047035
2027-01-31,2027,1,84.94456384650896
2027-02-28,2027,2,134.0936437534792
2027-03-31,2027,3,210.05157040062164
2027-04-30,2027,4,288.36210908229174
2027-05-31,2027,5,224.86342857420775
2027-06-30,2027,6,123.91937459646725
2027-07-31,2027,7,168.08520276312163
2027-08-31,2027,8,112.08775699359477
2027-09-30,2027,9,244.07906923234887
2027-10-31,2027,10,356.77347617088
2027-11-30,2027,11,261.85088551158157
2027-12-31,2027,12,135.0741808204645
2028-01-31,2028,1,104.47971573222048
2028-02-29,2028,2,129.81559497109842
2028-03-31,2028,3,200.9189250210987
2028-04-30,2028,4,264.7943390460293
2028-05-31,2028,5,225.48503929078078
2028-06-30,2028,6,155.51082786668437
2028-07-31,2028,7,59.15543630352855
2028-08-31,2028,8,124.4416374493361
2028-09-30,2028,9,157.84794159141975
2028-10-31,2028,10,309.88910127472246
2028-11-30,2028,11,260.4287860727675
2028-12-31,2028,12,142.13356750968893
2029-01-31,2029,1,182.66326515074906
2029-02-28,2029,2,74.5063315958972
2029-03-31,2029,3,204.22852154487694
2029-04-30,2029,4,213.00557929619816
2029-05-31,2029,5,171.06209356223917
