time,Year,Month,tas
2010-12-31,2010,12,12.180328
2011-01-31,2011,1,12.175639
2011-02-28,2011,2,12.413439
2011-03-31,2011,3,12.465418
2011-04-30,2011,4,12.648254
2011-05-31,2011,5,13.40326
2011-06-30,2011,6,13.142642
2011-07-31,2011,7,12.779803
2011-08-31,2011,8,12.960706
2011-09-30,2011,9,12.858256
2011-10-31,2011,10,12.301786
2011-11-30,2011,11,12.477772
2011-12-31,2011,12,12.570124
2012-01-31,2012,1,12.297357
2012-02-29,2012,2,12.196727
2012-03-31,2012,3,12.722396
2012-04-30,2012,4,12.668417
2012-05-31,2012,5,13.064585
2012-06-30,2012,6,12.910815
2012-07-31,2012,7,13.011243
2012-08-31,2012,8,12.898044
2012-09-30,2012,9,12.966681
2012-10-31,2012,10,12.588512
2012-11-30,2012,11,12.802134
2012-12-31,2012,12,12.576535
2013-01-31,2013,1,13.5159
2013-02-28,2013,2,12.849296
2013-03-31,2013,3,13.372004
2013-04-30,2013,4,13.339978
2013-05-31,2013,5,13.079799
2013-06-30,2013,6,13.09639
2013-07-31,2013,7,12.790116
2013-08-31,2013,8,12.7951565
2013-09-30,2013,9,12.980982
2013-10-31,2013,10,12.699896
2013-11-30,2013,11,12.440742
2013-12-31,2013,12,12.720924
2014-01-31,2014,1,12.721178
2014-02-28,2014,2,12.734321
2014-03-31,2014,3,13.041862
2014-04-30,2014,4,13.365409
2014-05-31,2014,5,13.044089
2014-06-30,2014,6,13.445605
2014-07-31,2014,7,13.389808
2014-08-31,2014,8,12.968923
2014-09-30,2014,9,12.998456
2014-10-31,2014,10,12.904039
2014-11-30,2014,11,12.818293
2014-12-31,2014,12,12.800966
