time,Year,Month,tas
1998-04-30,1998,4,18.27613364816488
1998-05-31,1998,5,18.4503950928139
1998-06-30,1998,6,17.99985745010662
1998-07-31,1998,7,17.609987953849515
1998-08-31,1998,8,18.327094453138354
1998-09-30,1998,9,18.442708512734985
1998-10-31,1998,10,18.145079704850655
1998-11-30,1998,11,17.418850733842373
1998-12-31,1998,12,18.314637247114923
1999-01-31,1999,1,18.412208009152113
1999-02-28,1999,2,18.72773105233609
1999-03-31,1999,3,18.822897022628887
1999-04-30,1999,4,18.477277132666554
1999-05-31,1999,5,18.819069270660478
1999-06-30,1999,6,18.351391835911127
1999-07-31,1999,7,17.76929748131486
1999-08-31,1999,8,18.425123921842367
1999-09-30,1999,9,18.648003007273626
1999-10-31,1999,10,18.11030495474526
1999-11-30,1999,11,18.148623255188216
1999-12-31,1999,12,18.34605320257459
2000-01-31,2000,1,18.232973778023247
2000-02-29,2000,2,18.3456025585123
2000-03-31,2000,3,18.929540307432866
2000-04-30,2000,4,18.949848088191576
2000-05-31,2000,5,18.032662796160928
2000-06-30,2000,6,18.4946026769636
2000-07-31,2000,7,17.45443618535777
2000-08-31,2000,8,18.891622302784846
2000-09-30,2000,9,18.666651763762555
2000-10-31,2000,10,18.198335216848
2000-11-30,2000,11,17.950138864237896
2000-12-31,2000,12,18.321961234058207
2001-01-31,2001,1,18.76045515515042
2001-02-28,2001,2,19.528610447335836
2001-03-31,2001,3,18.910261308003975
2001-04-30,2001,4,19.594354041182836
2001-05-31,2001,5,19.121604465700425
2001-06-30,2001,6,18.85467392659979
2001-07-31,2001,7,18.844582881293714
2001-08-31,2001,8,18.770436705336724
2001-09-30,2001,9,19.337155927319568
2001-10-31,2001,10,18.325877642649196
2001-11-30,2001,11,18.148286169757544
2001-12-31,2001,12,18.2806451542722
2002-01-31,2002,1,19.032417574174097
2002-02-28,2002,2,18.983842953948557
2002-03-31,2002,3,18.95612549451701
2002-04-30,2002,4,19.426890904926903
2002-05-31,2002,5,19.386021525667616
2002-06-30,2002,6,18.700483417732165
2002-07-31,2002,7,18.689963539226945
2002-08-31,2002,8,18.402352850156266
2002-09-30,2002,9,18.743927820250487
2002-10-31,2002,10,17.99000651605045
2002-11-30,2002,11,18.32610126243451
2002-12-31,2002,12,18.296992423569318
2003-01-31,2003,1,18.270154616742385
2003-02-28,2003,2,19.15698747420858
2003-03-31,2003,3,18.559518411341617
2003-04-30,2003,4,18.59412065985286
2003-05-31,2003,5,18.583889886404762
2003-06-30,2003,6,18.42112128583756
2003-07-31,2003,7,17.726842233171766
