time,Year,Month,Day,pr
1986-01-18,1986,1,18,11.128962
1986-01-19,1986,1,19,18.059372
1986-01-20,1986,1,20,7.659465
1986-01-21,1986,1,21,6.428629
1986-01-22,1986,1,22,6.179899
1986-01-23,1986,1,23,8.332788
1986-01-24,1986,1,24,12.136787
1986-01-25,1986,1,25,9.117603
1986-01-26,1986,1,26,13.873681
1986-01-27,1986,1,27,9.32774
1986-01-28,1986,1,28,3.0020328
1986-01-29,1986,1,29,0.73334575
1986-01-30,1986,1,30,3.1649919
1986-01-31,1986,1,31,12.4273
1986-02-01,1986,2,1,4.326373
1986-02-02,1986,2,2,2.7424245
1986-02-03,1986,2,3,10.995001
1986-02-04,1986,2,4,9.958685
1986-02-05,1986,2,5,4.3432264
1986-02-06,1986,2,6,15.384577
1986-02-07,1986,2,7,9.440526
1986-02-08,1986,2,8,3.4417212
1986-02-09,1986,2,9,14.777951
1986-02-10,1986,2,10,8.922383
1986-02-11,1986,2,11,11.765912
1986-02-12,1986,2,12,8.143038
1986-02-13,1986,2,13,11.340439
1986-02-14,1986,2,14,11.020273
1986-02-15,1986,2,15,10.4305
1986-02-16,1986,2,16,11.534214
1986-02-17,1986,2,17,9.609043
1986-02-18,1986,2,18,15.393003
1986-02-19,1986,2,19,3.9472432
1986-02-20,1986,2,20,7.1109385
1986-02-21,1986,2,21,8.640125
1986-02-22,1986,2,22,16.454584
1986-02-23,1986,2,23,8.341029
1986-02-24,1986,2,24,9.322584
1986-02-25,1986,2,25,20.924204
1986-02-26,1986,2,26,14.80323
1986-02-27,1986,2,27,11.390984
1986-02-28,1986,2,28,18.577993
1986-03-01,1986,3,1,7.8894196
1986-03-02,1986,3,2,11.647522
1986-03-03,1986,3,3,5.5619926
1986-03-04,1986,3,4,7.2777567
1986-03-05,1986,3,5,7.6354294
1986-03-06,1986,3,6,3.1619816
1986-03-07,1986,3,7,6.9149137
1986-03-08,1986,3,8,11.315778
1986-03-09,1986,3,9,9.143859
1986-03-10,1986,3,10,11.797846
1986-03-11,1986,3,11,13.073012
1986-03-12,1986,3,12,16.302391
1986-03-13,1986,3,13,14.773234
1986-03-14,1986,3,14,5.069554
1986-03-15,1986,3,15,14.887274
1986-03-16,1986,3,16,26.959852
1986-03-17,1986,3,17,23.740843
1986-03-18,1986,3,18,3.1930952
1986-03-19,1986,3,19,1.3114512
1986-03-20,1986,3,20,1.368463
1986-03-21,1986,3,21,1.6017258
1986-03-22,1986,3,22,5.292445
1986-03-23,1986,3,23,2.3222418
1986-03-24,1986,3,24,3.4056158
1986-03-25,1986,3,25,2.9857457
1986-03-26,1986,3,26,2.8820782
1986-03-27,1986,3,27,5.5205226
1986-03-28,1986,3,28,11.092886
1986-03-29,1986,3,29,16.369776
1986-03-30,1986,3,30,5.1161947
1986-03-31,1986,3,31,1.0576844
1986-04-01,1986,4,1,4.9784927
1986-04-02,1986,4,2,9.034053
1986-04-03,1986,4,3,5.867749
1986-04-04,1986,4,4,5.4365993
1986-04-05,1986,4,5,9.653836
1986-04-06,1986,4,6,15.460953
1986-04-07,1986,4,7,25.889515
1986-04-08,1986,4,8,21.807014
1986-04-09,1986,4,9,12.732551
1986-04-10,1986,4,10,7.9494267
1986-04-11,1986,4,11,2.0008385
1986-04-12,1986,4,12,1.2328327
1986-04-13,1986,4,13,1.2463033
1986-04-14,1986,4,14,1.2934655
1986-04-15,1986,4,15,2.391562
1986-04-16,1986,4,16,7.80122
1986-04-17,1986,4,17,15.090421
1986-04-18,1986,4,18,7.861838
1986-04-19,1986,4,19,11.850029
1986-04-20,1986,4,20,7.4643793
1986-04-21,1986,4,21,6.5279603
1986-04-22,1986,4,22,6.837845
1986-04-23,1986,4,23,6.3460617
1986-04-24,1986,4,24,6.4471216
1986-04-25,1986,4,25,9.882882
1986-04-26,1986,4,26,9.263098
1986-04-27,1986,4,27,4.3991356
1986-04-28,1986,4,28,20.857126
1986-04-29,1986,4,29,15.17801
1986-04-30,1986,4,30,3.2075644
