time,Year,Month,tas
2013-02-28,2013,2,13.991606
2013-03-31,2013,3,14.574543
2013-04-30,2013,4,14.4587145
2013-05-31,2013,5,13.719225
2013-06-30,2013,6,14.148956
2013-07-31,2013,7,13.836644
2013-08-31,2013,8,13.866099
2013-09-30,2013,9,14.353128
2013-10-31,2013,10,13.813771
2013-11-30,2013,11,13.328943
2013-12-31,2013,12,13.36672
2014-01-31,2014,1,13.75865
2014-02-28,2014,2,14.08261
2014-03-31,2014,3,14.049811
2014-04-30,2014,4,14.343092
2014-05-31,2014,5,14.002362
2014-06-30,2014,6,14.198681
2014-07-31,2014,7,14.444159
2014-08-31,2014,8,14.565232
2014-09-30,2014,9,14.524586
2014-10-31,2014,10,13.754469
2014-11-30,2014,11,13.549826
2014-12-31,2014,12,13.60339
