time,Year,Month,pr
2022-10-31,2022,10,390.2778619900346
2022-11-30,2022,11,211.29300501197577
2022-12-31,2022,12,129.34140264987946
2023-01-31,2023,1,166.1062153056264
2023-02-28,2023,2,223.5752910375595
2023-03-31,2023,3,123.93938256427646
2023-04-30,2023,4,218.65900810807943
2023-05-31,2023,5,244.95175424963236
2023-06-30,2023,6,196.37339171022177
2023-07-31,2023,7,71.5564414858818
2023-08-31,2023,8,206.05287551879883
2023-09-30,2023,9,204.4552830979228
2023-10-31,2023,10,278.7541760131717
2023-11-30,2023,11,183.9257726445794
2023-12-31,2023,12,223.04210644215345
2024-01-31,2024,1,221.00902805104852
2024-02-29,2024,2,220.21748889237642
2024-03-31,2024,3,30.38472756743443
2024-04-30,2024,4,303.77496164292097
2024-05-31,2024,5,213.2592486217618
2024-06-30,2024,6,143.3237498626113
2024-07-31,2024,7,109.44470912218094
2024-08-31,2024,8,214.74202070385218
2024-09-30,2024,9,186.75946779549122
2024-10-31,2024,10,357.6216973364353
2024-11-30,2024,11,258.7356163188815
2024-12-31,2024,12,104.36796639114618
2025-01-31,2025,1,63.281481340527534
2025-02-28,2025,2,128.30463498830807
2025-03-31,2025,3,186.84291634708669
2025-04-30,2025,4,204.76016979664564
2025-05-31,2025,5,255.6923920288682
2025-06-30,2025,6,109.24706384539604
2025-07-31,2025,7,105.65398335456848
2025-08-31,2025,8,149.29963275790215
2025-09-30,2025,9,422.7877037599683
2025-10-31,2025,10,280.0180094316602
2025-11-30,2025,11,219.62168142199516
2025-12-31,2025,12,150.22339057177305
2026-01-31,2026,1,163.71937450021505
2026-02-28,2026,2,120.77500121667981
2026-03-31,2026,3,126.94406099617481
2026-04-30,2026,4,235.61121951788664
2026-05-31,2026,5,181.93813003599644
2026-06-30,2026,6,94.44172270596027
2026-07-31,2026,7,100.35640597343445
2026-08-31,2026,8,102.2491361014545
2026-09-30,2026,9,267.6602007821202
2026-10-31,2026,10,351.00622829049826
2026-11-30,2026,11,299.16330138221383
2026-12-31,2026,12,148.49066007882357
2027-01-31,2027,1,44.790065847337736
2027-02-28,2027,2,64.60422109812512
2027-03-31,2027,3,258.8561371900141
2027-04-30,2027,4,260.0191312842071
2027-05-31,2027,5,144.2688463255763
2027-06-30,2027,6,133.0135764554143
2027-07-31,2027,7,132.15651512145996
2027-08-31,2027,8,117.97323357313871
2027-09-30,2027,9,157.28598050773144
2027-10-31,2027,10,307.6505742967129
2027-11-30,2027,11,285.5575413443148
2027-12-31,2027,12,84.61109809577465
2028-01-31,2028,1,44.173905439674854
2028-02-29,2028,2,105.00963963568236
2028-03-31,2028,3,178.95019110292196
2028-04-30,2028,4,214.86336886882782
2028-05-31,2028,5,172.24756702780724
