time,Year,Month,tas
2010-09-30,2010,9,18.569828
2010-10-31,2010,10,18.479473
2010-11-30,2010,11,18.55542
2010-12-31,2010,12,18.624363
2011-01-31,2011,1,18.940023
2011-02-28,2011,2,19.801853
2011-03-31,2011,3,20.114372
2011-04-30,2011,4,19.113466
2011-05-31,2011,5,17.844706
2011-06-30,2011,6,17.312176
2011-07-31,2011,7,16.952885
2011-08-31,2011,8,17.391523
2011-09-30,2011,9,18.300468
2011-10-31,2011,10,18.187372
2011-11-30,2011,11,18.544441
2011-12-31,2011,12,18.265394
2012-01-31,2012,1,19.101585
2012-02-29,2012,2,19.588148
2012-03-31,2012,3,20.540491
2012-04-30,2012,4,20.689867
2012-05-31,2012,5,18.621824
2012-06-30,2012,6,17.161095
2012-07-31,2012,7,16.314241
2012-08-31,2012,8,17.299423
2012-09-30,2012,9,18.965937
2012-10-31,2012,10,19.166922
2012-11-30,2012,11,18.594442
2012-12-31,2012,12,18.906061
2013-01-31,2013,1,18.871881
2013-02-28,2013,2,19.985275
2013-03-31,2013,3,19.633741
2013-04-30,2013,4,19.67153
2013-05-31,2013,5,18.17907
2013-06-30,2013,6,16.78593
2013-07-31,2013,7,16.01667
2013-08-31,2013,8,16.495384
2013-09-30,2013,9,18.64972
2013-10-31,2013,10,19.059301
2013-11-30,2013,11,18.446362
2013-12-31,2013,12,18.34051
2014-01-31,2014,1,19.069185
2014-02-28,2014,2,19.98494
2014-03-31,2014,3,20.78855
2014-04-30,2014,4,18.998198
2014-05-31,2014,5,19.25839
2014-06-30,2014,6,18.448988
2014-07-31,2014,7,17.435387
2014-08-31,2014,8,17.654753
2014-09-30,2014,9,18.292784
2014-10-31,2014,10,18.40853
2014-11-30,2014,11,18.245928
2014-12-31,2014,12,18.217556
2015-01-31,2015,1,18.64722
2015-02-28,2015,2,18.946651
2015-03-31,2015,3,19.585611
2015-04-30,2015,4,17.948816
2015-05-31,2015,5,17.287031
2015-06-30,2015,6,16.819973
2015-07-31,2015,7,16.588964
2015-08-31,2015,8,17.414444
2015-09-30,2015,9,17.983133
2015-10-31,2015,10,18.199625
2015-11-30,2015,11,18.452648
2015-12-31,2015,12,18.297407
2016-01-31,2016,1,18.552896
2016-02-29,2016,2,18.847916
2016-03-31,2016,3,18.755426
2016-04-30,2016,4,18.812431
2016-05-31,2016,5,17.529974
2016-06-30,2016,6,16.132895
2016-07-31,2016,7,16.515368
2016-08-31,2016,8,17.628044
2016-09-30,2016,9,18.273811
2016-10-31,2016,10,18.350851
2016-11-30,2016,11,18.623396
2016-12-31,2016,12,18.181454
2017-01-31,2017,1,18.634392
2017-02-28,2017,2,18.718441
2017-03-31,2017,3,18.95863
2017-04-30,2017,4,18.716341
2017-05-31,2017,5,17.691504
2017-06-30,2017,6,16.118696
2017-07-31,2017,7,16.369417
2017-08-31,2017,8,16.748985
2017-09-30,2017,9,18.17465
2017-10-31,2017,10,17.990953
2017-11-30,2017,11,18.427788
2017-12-31,2017,12,18.25512
2018-01-31,2018,1,18.690977
2018-02-28,2018,2,19.341612
2018-03-31,2018,3,18.99261
2018-04-30,2018,4,18.993696
2018-05-31,2018,5,17.76778
2018-06-30,2018,6,17.216503
2018-07-31,2018,7,16.090542
2018-08-31,2018,8,16.9195
2018-09-30,2018,9,18.349438
2018-10-31,2018,10,18.803402
2018-11-30,2018,11,18.771908
2018-12-31,2018,12,17.89344
2019-01-31,2019,1,18.657814
2019-02-28,2019,2,19.682446
2019-03-31,2019,3,19.630981
2019-04-30,2019,4,19.243143
2019-05-31,2019,5,17.714973
2019-06-30,2019,6,17.489437
2019-07-31,2019,7,16.51922
2019-08-31,2019,8,17.240257
2019-09-30,2019,9,18.748022
2019-10-31,2019,10,19.214298
2019-11-30,2019,11,18.6741
2019-12-31,2019,12,18.903547
2020-01-31,2020,1,19.398376
2020-02-29,2020,2,19.799856
2020-03-31,2020,3,19.219957
2020-04-30,2020,4,19.692333
2020-05-31,2020,5,18.763954
2020-06-30,2020,6,17.117714
2020-07-31,2020,7,16.479233
2020-08-31,2020,8,16.82737
2020-09-30,2020,9,18.262218
2020-10-31,2020,10,18.627205
2020-11-30,2020,11,18.681913
2020-12-31,2020,12,18.367966
2021-01-31,2021,1,18.560307
2021-02-28,2021,2,19.44695
2021-03-31,2021,3,19.968325
