time,Year,Month,pr
2009-02-28,2009,2,178.14276
2009-03-31,2009,3,288.74155
2009-04-30,2009,4,167.63995
2009-05-31,2009,5,101.070984
2009-06-30,2009,6,58.936745
2009-07-31,2009,7,30.108511
2009-08-31,2009,8,56.61124
2009-09-30,2009,9,49.72178
2009-10-31,2009,10,185.29008
2009-11-30,2009,11,144.51129
2009-12-31,2009,12,140.86989
2010-01-31,2010,1,73.91759
2010-02-28,2010,2,129.80502
2010-03-31,2010,3,114.116875
2010-04-30,2010,4,357.72742
2010-05-31,2010,5,199.2554
2010-06-30,2010,6,63.131096
2010-07-31,2010,7,118.422104
2010-08-31,2010,8,38.539097
2010-09-30,2010,9,161.45457
2010-10-31,2010,10,210.94783
2010-11-30,2010,11,256.26794
2010-12-31,2010,12,179.76819
2011-01-31,2011,1,155.00616
2011-02-28,2011,2,279.04886
2011-03-31,2011,3,277.60742
2011-04-30,2011,4,326.9949
2011-05-31,2011,5,201.5155
2011-06-30,2011,6,84.63142
2011-07-31,2011,7,63.81811
2011-08-31,2011,8,57.85832
2011-09-30,2011,9,69.59343
2011-10-31,2011,10,273.59717
2011-11-30,2011,11,338.2154
2011-12-31,2011,12,220.26318
2012-01-31,2012,1,205.40645
2012-02-29,2012,2,152.22409
2012-03-31,2012,3,233.53514
2012-04-30,2012,4,253.26886
2012-05-31,2012,5,69.91425
2012-06-30,2012,6,28.171986
2012-07-31,2012,7,34.071774
2012-08-31,2012,8,44.77368
2012-09-30,2012,9,35.743805
2012-10-31,2012,10,208.07541
2012-11-30,2012,11,201.21838
2012-12-31,2012,12,136.4058
2013-01-31,2013,1,87.361404
2013-02-28,2013,2,245.47154
2013-03-31,2013,3,122.03343
2013-04-30,2013,4,218.33667
2013-05-31,2013,5,198.32431
2013-06-30,2013,6,32.0683
2013-07-31,2013,7,37.820324
2013-08-31,2013,8,77.80594
2013-09-30,2013,9,56.182846
2013-10-31,2013,10,152.60692
2013-11-30,2013,11,227.38487
2013-12-31,2013,12,157.01189
2014-01-31,2014,1,147.55276
2014-02-28,2014,2,229.0039
2014-03-31,2014,3,262.65784
2014-04-30,2014,4,128.50792
2014-05-31,2014,5,182.05681
2014-06-30,2014,6,51.329403
2014-07-31,2014,7,25.756462
2014-08-31,2014,8,26.097267
2014-09-30,2014,9,79.02064
2014-10-31,2014,10,198.16112
2014-11-30,2014,11,210.71518
2014-12-31,2014,12,159.56393
