"","V1"
"545",0
"546",0
"547",1.18810062930448
"548",1.64682503500179
"549",1.00423868566884
"550",0
"551",0
"552",0
"553",1.18592298653452
"554",2.37515677492745
"555",1.33857466694527
"556",2.07153340579845
"557",4.76519477711949
"558",2.7456664154889
"559",1.26641677194815
"560",0
"561",2.19518029631226
"562",1.04871910460401
"563",1.25063343359459
"564",1.06804902382851
"565",0
"566",0
"567",1.65731608150372
"568",0
"569",0
"570",0
"571",1.11670237287203
"572",5.28144134104736
"573",0
"574",0
"575",0
"576",4.89638419132954
"577",1.76753161675749
"578",0
"579",0
"580",1.31581024307302
"581",0
"582",0
"583",1.40502262021534
"584",3.87884799886589
"585",5.49134978235287
"586",0
"587",0
"588",0
"589",1.05257131198939
"590",0
"591",3.04790889479043
"592",0
"593",2.652129689715
"594",1.55125289606474
"595",2.64822117691725
"596",1.61960682420553
"597",1.43035436946415
"598",1.71144061341375
"599",2.06091785462559
"600",3.15818483680656
"601",2.55206543254697
"602",0
"603",1.4035661260635
"604",1.81198355481835
"605",6.58474927689776
"606",7.15087246491855
"607",6.06046499000827
"608",2.83222977369253
"609",0
"610",0
"611",2.34181973483372
"612",0
"613",2.76732685669092
"614",1.71656906090151
"615",7.06942096679994
"616",7.06318853762069
"617",3.80979088806252
"618",0
"619",0
"620",0
"621",3.01258208516525
"622",5.35850455914868
"623",6.20777883671707
"624",1.32219904119098
"625",4.53398902165685
"626",4.79602046421511
"627",2.31705316789913
"628",3.93534859975487
"629",5.49490257046061
"630",4.99206104004489
"631",6.2362235779208
"632",1.67262728131355
"633",2.62541333859762
"634",5.21035972662269
"635",7.2819573883832
"636",10.3608961181223
"637",2.91385704354185
"638",5.36982008686691
"639",7.23304777492807
"640",4.63821881344756
"641",11.1179039043999
"642",5.93668602089558
"643",4.87959864203276
"644",3.83882710430725
"645",8.24583123173556
"646",9.85431764499468
"647",8.47848736606111
"648",13.4966677761028
"649",3.01869212095715
"650",0
"651",4.33174493181238
"652",7.64661377219479
"653",6.84280082150025
"654",18.0144059464238
"655",7.91944517544325
"656",13.8444387070148
"657",14.871056576472
"658",6.35774301790521
"659",6.83731826629531
"660",9.70060572111113
"661",4.55134315450872
"662",3.71010820287944
"663",2.1137114058595
"664",5.52476211790633
"665",3.20781464863691
"666",10.4542319239224
"667",7.4124965395842
"668",8.83577693759209
"669",19.4226705440926
"670",8.91658890230256
"671",10.3344744627699
"672",10.6397026398724
"673",7.2458248994134
"674",8.15056359538519
"675",9.70354091642981
"676",16.4394367626658
"677",12.8304911942391
